word,freq
equation,1.0
adiabatic,0.9754098360655737
state,0.8032786885245902
results,0.8032786885245902
charge,0.7459016393442623
momentum,0.7131147540983607
i,0.7049180327868853
figure,0.6967213114754098
systems,0.6885245901639344
system,0.6885245901639344
quantum,0.680327868852459
surface,0.6721311475409836
energy,0.6475409836065574
forces,0.639344262295082
term,0.6311475409836066
molecules,0.6229508196721312
nuclear,0.6147540983606558
method,0.6065573770491803
hopping,0.5901639344262295
interactions,0.5163934426229508
molecular,0.5
dynamics,0.5
ewald,0.4918032786885246
electronic,0.4918032786885246
time,0.48360655737704916
using,0.4672131147540984
molecule,0.4672131147540984
coupling,0.4672131147540984
ctmqc,0.45901639344262296
model,0.4426229508196721
simulations,0.4344262295081967
implementation,0.4180327868852459
equations,0.4180327868852459
structure,0.4098360655737705
order,0.4098360655737705
energies,0.38524590163934425
electrostatic,0.3770491803278688
dsf,0.36885245901639346
simulation,0.36065573770491804
large,0.36065573770491804
ehrenfest,0.36065573770491804
same,0.3524590163934426
due,0.3524590163934426
crystal,0.3524590163934426
calculation,0.3524590163934426
electrostatics,0.3442622950819672
code,0.3442622950819672
models,0.3360655737704918
density,0.319672131147541
coefficients,0.319672131147541
single,0.3114754098360656
diabatic,0.3114754098360656
calculate,0.3114754098360656
pentacene,0.30327868852459017
high,0.30327868852459017
nonadiabatic,0.29508196721311475
values,0.28688524590163933
small,0.28688524590163933
fob-sh,0.28688524590163933
technique,0.2786885245901639
such,0.2786885245901639
carrier,0.2786885245901639
atom,0.2786885245901639
scheme,0.27049180327868855
potential,0.27049180327868855
hamiltonian,0.27049180327868855
basis,0.27049180327868855
different,0.26229508196721313
atoms,0.26229508196721313
work,0.2540983606557377
wavefunction,0.2540983606557377
value,0.2540983606557377
addition-subtraction,0.2540983606557377
transport,0.2459016393442623
propagation,0.2459016393442623
parameter,0.2459016393442623
other,0.2459016393442623
initial,0.2459016393442623
full,0.2459016393442623
sum,0.23770491803278687
populations,0.23770491803278687
norm,0.23770491803278687
space,0.22950819672131148
population,0.22950819672131148
organic,0.22950819672131148
conservation,0.22950819672131148
crystallinity,0.22131147540983606
quenched,0.21311475409836064
mobility,0.21311475409836064
many,0.21311475409836064
expansion,0.21311475409836064
mobilities,0.20491803278688525
distribution,0.20491803278688525
transfer,0.19672131147540983
terms,0.19672131147540983
standard,0.1885245901639344
most,0.1885245901639344
being,0.1885245901639344
mass,0.18032786885245902
force,0.18032786885245902
exact,0.18032786885245902
amorphous,0.18032786885245902
various,0.1721311475409836
timestep,0.1721311475409836
states,0.1721311475409836
shows,0.1721311475409836
positions,0.1721311475409836
new,0.1721311475409836
neutral,0.1721311475409836
classical,0.1721311475409836
section,0.16393442622950818
position,0.16393442622950818
final,0.16393442622950818
width,0.1557377049180328
way,0.1557377049180328
use,0.1557377049180328
times,0.1557377049180328
sample,0.1557377049180328
reciprocal,0.1557377049180328
quench,0.1557377049180328
part,0.1557377049180328
increases,0.1557377049180328
important,0.1557377049180328
correction,0.1557377049180328
show,0.14754098360655737
number,0.14754098360655737
nuclei,0.14754098360655737
methods,0.14754098360655737
intercept,0.14754098360655737
ie,0.14754098360655737
fact,0.14754098360655737
chosen,0.14754098360655737
calculations,0.14754098360655737
structures,0.13934426229508196
literature,0.13934426229508196
ground,0.13934426229508196
function,0.13934426229508196
data,0.13934426229508196
cutoff,0.13934426229508196
charges,0.13934426229508196
trajectory,0.13114754098360656
total,0.13114754098360656
quenching,0.13114754098360656
pes,0.13114754098360656
parameters,0.13114754098360656
mean,0.13114754098360656
matrix,0.13114754098360656
found,0.13114754098360656
experimental,0.13114754098360656
crystalline,0.13114754098360656
couplings,0.13114754098360656
contribution,0.13114754098360656
constant,0.13114754098360656
center,0.13114754098360656
appendix,0.13114754098360656
time-dependent,0.12295081967213115
step,0.12295081967213115
second,0.12295081967213115
region,0.12295081967213115
hole,0.12295081967213115
disorder,0.12295081967213115
delocalisation,0.12295081967213115
clusters,0.12295081967213115
agostini,0.12295081967213115
tests,0.11475409836065574
techniques,0.11475409836065574
size,0.11475409836065574
similar,0.11475409836065574
set,0.11475409836065574
semi-classical,0.11475409836065574
line,0.11475409836065574
form,0.11475409836065574
ethylene,0.11475409836065574
difference,0.11475409836065574
coefficient,0.11475409836065574
chapter,0.11475409836065574
cannot,0.11475409836065574
approximation,0.11475409836065574
algorithm,0.11475409836065574
zero,0.10655737704918032
studies,0.10655737704918032
start,0.10655737704918032
simulated,0.10655737704918032
samples,0.10655737704918032
resulting,0.10655737704918032
real,0.10655737704918032
properties,0.10655737704918032
present,0.10655737704918032
gaussian,0.10655737704918032
crystals,0.10655737704918032
crossing,0.10655737704918032
trajectories,0.09836065573770492
test,0.09836065573770492
switches,0.09836065573770492
reasonable,0.09836065573770492
provide,0.09836065573770492
original,0.09836065573770492
n,0.09836065573770492
longer,0.09836065573770492
larger,0.09836065573770492
gossel,0.09836065573770492
framework,0.09836065573770492
following,0.09836065573770492
expensive,0.09836065573770492
error,0.09836065573770492
elements,0.09836065573770492
correct,0.09836065573770492
calculating,0.09836065573770492
atomic,0.09836065573770492
alternative,0.09836065573770492
velocity,0.09016393442622951
transformation,0.09016393442622951
theory,0.09016393442622951
simulate,0.09016393442622951
short,0.09016393442622951
respect,0.09016393442622951
reason,0.09016393442622951
polaron,0.09016393442622951
momenta,0.09016393442622951
limit,0.09016393442622951
higher,0.09016393442622951
fewest,0.09016393442622951
eg,0.09016393442622951
effect,0.09016393442622951
denominator,0.09016393442622951
decoherence,0.09016393442622951
addition,0.09016393442622951
